species,family,rearrangements,fusions,fissions,time
Bolboschoenus_planiculmis,Cyperaceae,59,11,48,63
Carex_acutiformis,Cyperaceae,72,26,46,63
Carex_arenaria,Cyperaceae,72,30,42,63
Carex_caryophyllea,Cyperaceae,83,31,52,63
Carex_depauperata,Cyperaceae,65,28,37,63
Carex_distans,Cyperaceae,109,45,64,63
Carex_divulsa,Cyperaceae,74,31,43,63
Carex_echinata,Cyperaceae,88,37,51,63
Carex_elata,Cyperaceae,70,25,45,63
Carex_extensa,Cyperaceae,120,53,67,63
Carex_hirta,Cyperaceae,94,28,66,63
Carex_laevigata,Cyperaceae,141,61,80,63
Carex_littledalei,Cyperaceae,82,34,48,63
Carex_myosuroides,Cyperaceae,84,35,49,63
Carex_nigra,Cyperaceae,72,24,48,63
Carex_pendula,Cyperaceae,101,43,58,63
Carex_riparia,Cyperaceae,79,31,48,63
Carex_rostrata,Cyperaceae,74,29,45,63
Carex_spicata,Cyperaceae,86,36,50,63
Carex_sylvatica,Cyperaceae,95,41,54,63
Cyperus_fuscus,Cyperaceae,68,30,38,63
Cyperus_rotundus,Cyperaceae,94,27,67,63
Eleocharis_parvula,Cyperaceae,50,27,23,63
Eriophorum_angustifolium,Cyperaceae,52,20,32,63
Eriophorum_vaginatum,Cyperaceae,52,20,32,63
Juncus_effusus,Juncaceae,23,4,19,55
Juncus_inflexus,Juncaceae,19,2,17,55
Juncus_squarrosus,Juncaceae,16,1,15,55
Luzula_pallescens,Juncaceae,12,6,6,55
Luzula_sylvatica,Juncaceae,8,4,4,55
Rhynchospora_breviuscula,Cyperaceae,14,9,5,63
Rhynchospora_tenuis,Cyperaceae,11,9,2,63
Schoenus_nigricans,Cyperaceae,23,6,17,63
Scirpus_sylvaticus,Cyperaceae,44,15,29,63
Trichophorum_cespitosum,Cyperaceae,74,20,54,63
x_Bolboschoenoplectus_mariqueter,Cyperaceae,59,11,48,63
