,parent,child,fissions,fusions,rearrangements,branch_length,fission_rate,fusion_rate,rearrangement_rate,bi,pi_hat,sd_null,N_bin,C_parent
1,n26,n31,0,3,3,0.00171424,0,1750.046668,1750.046668,1,1,0.575425603,"[3,5)",26
2,n26,n32,3,2,5,0.00619972,483.892821,322.595214,806.4880349,-0.2,0.4,0.445722756,"[5,10)",26
3,n31,n39,17,16,33,0.00932431,1823.191207,1715.944665,3539.135872,-0.03030303,0.484848485,0.173497347,"[10,Inf)",27
4,n31,n40,11,6,17,0.0115473,952.6036389,519.6019849,1472.205624,-0.294117647,0.352941176,0.241727104,"[10,Inf)",27
5,n32,Carex_caryophyllea,18,15,33,0.0135916,1324.347391,1103.622826,2427.970217,-0.090909091,0.454545455,0.173497347,"[10,Inf)",29
6,n32,n42,1,3,4,0.00129595,771.6347081,2314.904124,3086.538833,0.5,0.75,0.49833319,"[3,5)",29
7,n39,Carex_littledalei,0,1,1,0.00958724,0,104.3053058,104.3053058,1,1,0.996666381,"[1,2)",30
8,n39,Carex_myosuroides,1,2,3,0.00781003,128.0404813,256.0809626,384.1214438,0.333333333,0.666666667,0.575425603,"[3,5)",30
9,n40,Carex_echinata,9,14,23,0.00999683,900.2853905,1400.443941,2300.729331,0.217391304,0.608695652,0.207819306,"[10,Inf)",34
10,n40,n48,0,5,5,0.00167711,0,2981.319055,2981.319055,1,1,0.445722756,"[5,10)",34
11,n42,Carex_depauperata,2,9,11,0.0133927,149.3350855,672.0078849,821.3429704,0.636363636,0.818181818,0.300506221,"[10,Inf)",27
12,n42,n50,6,1,7,0.000996429,6021.502786,1003.583798,7025.086584,-0.714285714,0.142857143,0.376704483,"[5,10)",27
13,n48,Carex_arenaria,0,2,2,0.00941064,0,212.5253968,212.5253968,1,1,0.704749556,"[2,3)",29
14,n48,n52,1,2,3,0.0073052,136.8887915,273.7775831,410.6663746,0.333333333,0.666666667,0.575425603,"[3,5)",29
15,n50,n53,2,0,2,0.00410514,487.194103,0,487.194103,-1,0,0.704749556,"[2,3)",32
16,n50,n54,1,0,1,0.00117228,853.0385232,0,853.0385232,-1,0,0.996666381,"[1,2)",32
17,n52,Carex_divulsa,0,1,1,0.00299118,0,334.316223,334.316223,1,1,0.996666381,"[1,2)",28
18,n52,Carex_spicata,7,6,13,0.00280779,2493.06394,2136.911949,4629.975889,-0.076923077,0.461538462,0.276425518,"[10,Inf)",28
19,n53,n57,2,4,6,0.00133417,1499.05934,2998.118681,4497.178021,0.333333333,0.666666667,0.406887346,"[5,10)",38
20,n53,n58,11,7,18,0.00315476,3486.794558,2218.869264,5705.663822,-0.222222222,0.388888889,0.234916519,"[10,Inf)",38
21,n54,n59,3,5,8,0.00590303,508.2135785,847.0226308,1355.236209,0.25,0.625,0.352374778,"[5,10)",38
22,n54,n60,0,2,2,0.00122499,0,1632.666389,1632.666389,1,1,0.704749556,"[2,3)",38
23,n57,Carex_pendula,13,19,32,0.00657095,1978.404949,2891.514926,4869.919875,0.1875,0.59375,0.176187389,"[10,Inf)",36
24,n57,Carex_sylvatica,9,17,26,0.00745621,1207.047548,2279.978702,3487.026251,0.307692308,0.653846154,0.195462359,"[10,Inf)",36
25,n58,Carex_laevigata,26,34,60,0.00757698,3431.446302,4487.275933,7918.722235,0.133333333,0.566666667,0.128669076,"[10,Inf)",42
26,n58,n64,1,6,7,0.00181282,551.6267473,3309.760484,3861.387231,0.714285714,0.857142857,0.376704483,"[5,10)",42
27,n59,Carex_rostrata,0,4,4,0.00684235,0,584.5944741,584.5944741,1,1,0.49833319,"[3,5)",36
28,n59,n66,2,2,4,0.00117356,1704.216231,1704.216231,3408.432462,0,0.5,0.49833319,"[3,5)",36
29,n60,Carex_acutiformis,4,4,8,0.0107348,372.6198904,372.6198904,745.2397809,0,0.5,0.352374778,"[5,10)",36
30,n60,n68,3,2,5,0.00572886,523.664394,349.109596,872.7739899,-0.2,0.4,0.445722756,"[5,10)",36
31,n64,Carex_distans,9,12,21,0.00825132,1090.734573,1454.312765,2545.047338,0.142857143,0.571428571,0.217490435,"[10,Inf)",37
32,n64,Carex_extensa,12,20,32,0.0101037,1187.68372,1979.472866,3167.156586,0.25,0.625,0.176187389,"[10,Inf)",37
33,n66,Carex_hirta,19,1,20,0.00794505,2391.426108,125.864532,2517.29064,-0.9,0.05,0.222861378,"[10,Inf)",37
34,n66,Carex_riparia,1,4,5,0.00691198,144.6763445,578.7053782,723.3817227,0.6,0.8,0.445722756,"[5,10)",37
35,n68,Carex_elata,0,1,1,0.00519551,0,192.4738861,192.4738861,1,1,0.996666381,"[1,2)",37
36,n68,Carex_nigra,3,0,3,0.00551465,544.0055126,0,544.0055126,-1,0,0.575425603,"[3,5)",37
