species,genus,rearrangements,fusions,fissions
Bolboschoenus_planiculmis,non-Carex,59,11,48
Carex_acutiformis,Carex,72,26,46
Carex_arenaria,Carex,72,30,42
Carex_caryophyllea,Carex,83,31,52
Carex_depauperata,Carex,65,28,37
Carex_distans,Carex,109,45,64
Carex_divulsa,Carex,74,31,43
Carex_echinata,Carex,88,37,51
Carex_elata,Carex,70,25,45
Carex_extensa,Carex,120,53,67
Carex_hirta,Carex,94,28,66
Carex_laevigata,Carex,141,61,80
Carex_littledalei,Carex,82,34,48
Carex_myosuroides,Carex,84,35,49
Carex_nigra,Carex,72,24,48
Carex_pendula,Carex,101,43,58
Carex_riparia,Carex,79,31,48
Carex_rostrata,Carex,74,29,45
Carex_spicata,Carex,86,36,50
Carex_sylvatica,Carex,95,41,54
Cyperus_fuscus,non-Carex,68,30,38
Cyperus_rotundus,non-Carex,94,27,67
Eleocharis_parvula,non-Carex,50,27,23
Eriophorum_angustifolium,non-Carex,52,20,32
Eriophorum_vaginatum,non-Carex,52,20,32
Rhynchospora_breviuscula,non-Carex,14,9,5
Rhynchospora_tenuis,non-Carex,11,9,2
Schoenus_nigricans,non-Carex,23,6,17
Scirpus_sylvaticus,non-Carex,44,15,29
Trichophorum_cespitosum,non-Carex,74,20,54
x_Bolboschoenoplectus_mariqueter,non-Carex,59,11,48
