,Bolboschoenus planiculmis_Colleen,Bolboschoenus planiculmis_Garrett,Carex acutiformis_Carol,Carex arenaria_Sandra,Carex caryophyllea_Carol,Carex depauperata_Carol,Carex distans_Carol,Carex divulsa_Sandra,Carex echinata_Sandra,Carex elata_Carol,Carex extensa_Carol,Carex hirta_Carol,Carex laevigata_Carol,Carex littledalei_Carol,Carex littledalei_Marcus,Carex littledalei_Jerusha,Carex littledalei_Mateo,Carex myosuroides_Carol,Carex myosuroides_5'-GTTTAGG-3',Carex myosuroides_Mateo,Carex myosuroides_Marcus,Carex myosuroides_Kelly,Carex nigra_Carol,Carex pendula_Carol,Carex riparia_Carol,Carex rostrata_Carol,Carex spicata_Sandra,Carex sylvatica_Carol,Cyperus fuscus_Sayid,Eriophorum angustifolium_Sandra,Eriophorum angustifolium_Janet,Eriophorum vaginatum_Sandra,Eriophorum vaginatum_Janet,Eriophorum vaginatum_Glenn,Juncus effusus_Amelia,Juncus effusus_Simms,Juncus effusus_Cheyenne,Juncus inflexus_Amelia,Juncus inflexus_Simms,Juncus inflexus_Cheyenne,Juncus squarrosus_Myrtle,Luzula pallescens_Isaac,Luzula pallescens_Jerry,Luzula pallescens_Tony,Luzula sylvatica_Isaac,Luzula sylvatica_Jerry,Rhynchospora breviuscula_Tyba,Rhynchospora tenuis_Tyba,Schoenus nigricans_Justine,Schoenus nigricans_Sikowicz,Scirpus sylvaticus_Sandra,Scirpus sylvaticus_Glenn,Trichophorum cespitosum_Glenn,Trichophorum cespitosum_Harmonica,Trichophorum cespitosum_Parker,Trichophorum cespitosum_BoDerek,x Bolboschoenoplectus mariqueter_Colleen,x Bolboschoenoplectus mariqueter_Garrett
Bolboschoenus planiculmis_Colleen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006944444,0.005780347,0,0,0,0,0.004878049,0,0,0,0,0,0,0,0,0.00210084,0,0.002105263,0,0.01754386,0.011560694,0.005194805,0.016574586,0.005617978,0.010416667,0,0.006493506,0.005128205,0.016129032,0.013157895,0.005464481,0.01,0.020304569,0.00462963,0,0,0,0,0,0.026315789,0,1,0.004807692
Bolboschoenus planiculmis_Garrett,0,1,0.004081633,0.007575758,0.004081633,0.004081633,0.004081633,0.00754717,0.003717472,0.004081633,0.004081633,0.004081633,0.004081633,0,0,0,0.016842105,0,0,0.028865979,0,0.002941176,0.004081633,0.004081633,0.004081633,0.004081633,0.00754717,0.004081633,0.00729927,0,0.00990099,0.005154639,0.009917355,0.014336918,0.016447368,0.006493506,0.00967118,0.012698413,0.003194888,0.007707129,0.009584665,0.013986014,0.015337423,0.011627907,0.006968641,0.015923567,0.015060241,0.024390244,0.002849003,0.015384615,0,0,0,0.007272727,0.008,0,0,0.312977099
Carex acutiformis_Carol,0,0.004081633,1,0.005988024,0.804878049,1,1,0.005952381,0.005847953,0.827160494,0.804878049,1,0.873417722,0.203252033,0,0.005524862,0.007853403,0.223140496,0,0.007537688,0,0,1,1,0.804878049,1,0.005952381,1,0,0,0.007843137,0,0.007858546,0.005434783,0,0.004739336,0.002364066,0,0.004651163,0.002358491,0,0,0.021929825,0,0,0.023148148,0,0,0,0.01754386,0,0,0,0.011299435,0,0,0,0
Carex arenaria_Sandra,0,0.007575758,0.005988024,1,0.005988024,0.005988024,0.005988024,0.89,0.669565217,0.005988024,0,0.005988024,0,0,0,0,0.002475248,0.005988024,0,0.002380952,0,0,0.005988024,0.005988024,0.005988024,0.005988024,0.89,0.005988024,0,0.113207547,0.003759398,0.147058824,0.003766478,0.004901961,0.013157895,0.008695652,0.004524887,0.012605042,0.008547009,0.004514673,0,0,0.012,0,0.004761905,0.012605042,0,0,0,0,0.113207547,0,0,0,0,0,0,0.003773585
Carex caryophyllea_Carol,0,0.004081633,0.804878049,0.005988024,1,0.804878049,0.804878049,0.005952381,0.005847953,0.662921348,0.644444444,0.804878049,0.701149425,0.223140496,0,0.005524862,0.007853403,0.243697479,0,0.007537688,0,0,0.804878049,0.804878049,1,0.804878049,0.005952381,0.804878049,0,0,0.007843137,0,0.007858546,0.005434783,0,0.004739336,0.002364066,0,0.004651163,0.002358491,0,0,0.021929825,0,0,0.023148148,0,0,0,0.01754386,0,0,0,0.011299435,0,0,0,0
Carex depauperata_Carol,0,0.004081633,1,0.005988024,0.804878049,1,1,0.005952381,0.005847953,0.827160494,0.804878049,1,0.873417722,0.203252033,0,0.005524862,0.007853403,0.223140496,0,0.007537688,0,0,1,1,0.804878049,1,0.005952381,1,0,0,0.007843137,0,0.007858546,0.005434783,0,0.004739336,0.002364066,0,0.004651163,0.002358491,0,0,0.021929825,0,0,0.023148148,0,0,0,0.01754386,0,0,0,0.011299435,0,0,0,0
Carex distans_Carol,0,0.004081633,1,0.005988024,0.804878049,1,1,0.005952381,0.005847953,0.827160494,0.804878049,1,0.873417722,0.203252033,0,0.005524862,0.007853403,0.223140496,0,0.007537688,0,0,1,1,0.804878049,1,0.005952381,1,0,0,0.007843137,0,0.007858546,0.005434783,0,0.004739336,0.002364066,0,0.004651163,0.002358491,0,0,0.021929825,0,0,0.023148148,0,0,0,0.01754386,0,0,0,0.011299435,0,0,0,0
Carex divulsa_Sandra,0,0.00754717,0.005952381,0.89,0.005952381,0.005952381,0.005952381,1,0.738738739,0.005952381,0,0.005952381,0,0,0,0,0.002469136,0.005952381,0,0.002375297,0,0,0.005952381,0.005952381,0.005952381,0.005952381,1,0.005952381,0,0.112149533,0.003752345,0.134615385,0.003759398,0.004878049,0.013100437,0,0.004514673,0.012552301,0,0.004504505,0,0,0.011952191,0,0.004739336,0.012552301,0,0,0,0,0.112149533,0,0,0,0,0,0,0.003759398
Carex echinata_Sandra,0,0.003717472,0.005847953,0.669565217,0.005847953,0.005847953,0.005847953,0.738738739,1,0.005847953,0,0.005847953,0,0,0,0,0.00245098,0.005847953,0,0,0,0,0.005847953,0.005847953,0.005847953,0.005847953,0.738738739,0.005847953,0,0.109090909,0.001862197,0.130841121,0.001865672,0.004807692,0,0,0,0,0,0.002232143,0,0,0.00390625,0,0.004672897,0.004098361,0.011538462,0.003831418,0,0,0.109090909,0,0,0,0,0,0,0.015037594
Carex elata_Carol,0,0.004081633,0.827160494,0.005988024,0.662921348,0.827160494,0.827160494,0.005952381,0.005847953,1,0.873417722,0.827160494,0.873417722,0.243697479,0.007936508,0.005524862,0.007853403,0.298245614,0,0.007537688,0.007936508,0,0.827160494,0.827160494,0.662921348,0.827160494,0.005952381,0.827160494,0,0,0.007843137,0,0.007858546,0.005434783,0,0.004739336,0.002364066,0,0.004651163,0.002358491,0,0,0,0,0,0,0,0,0,0.013100437,0,0,0,0.011299435,0,0,0,0
