Species,Gross oligocentromere length,Gross chromosome length,Haploid number,Oligocentromere proportion,Number of oligocentromeres,Proximal rearrangement rate,Proximal fusion rate,Proximal fission rate,Median array length (kbp),Mean array length (kbp),Standard deviation of array length (kbp),Median inter-array gap (kbp),Mean inter-array gap (kbp),Standard deviation of inter-array gap (kbp)
Carex acutiformis,5885132,388193004,39,0.015160325,413,745.2397809,372.6198904,372.6198904,20,20.73849879,9.315109069,1040,1134.74359,796.9042771
Carex arenaria,6530492,351724135,27,0.018567085,290,212.5253968,212.5253968,0,30,44.0862069,85.18010321,22.5,453.75,758.0566453
Carex caryophyllea,10967410,526424530,34,0.020833775,740,2427.970217,1103.622826,1324.347391,20,21.25675676,11.6808725,940,999.7761194,745.9864492
Carex depauperata,16824087,699853091,22,0.024039455,1104,821.3429704,672.0078849,149.3350855,20,21.64402174,13.25498249,142.5,506.9736842,767.1829299
Carex distans,7630942,350879654,35,0.021748032,425,2545.047338,1454.312765,1090.734573,25,23.6,15.36060263,87.5,336.6071429,407.1766505
Carex divulsa,12187810,388098559,27,0.031403904,378,334.316223,334.316223,0,40,60.93915344,73.27488307,125,578.3018868,655.1195893
Carex echinata,18231311,378389622,29,0.048181319,536,2300.729331,1400.443941,900.2853905,40,55.78358209,77.80362166,50,353.1,558.3794793
Carex elata,10119854,407598430,40,0.024828,542,192.4738861,192.4738861,0,25,25.14760148,13.79398137,100,485.6962025,843.6465926
Carex extensa,3762923,308499427,30,0.012197504,364,3167.156586,1979.472866,1187.68372,15,15.61813187,9.164237644,120,296.25,345.5977688
Carex hirta,5440924,314050137,56,0.017325017,533,2517.29064,125.864532,2391.426108,15,16.17260788,5.456960802,15,234.8543689,443.8227744
Carex laevigata,11204216,375576877,36,0.029832018,557,7918.722235,4487.275933,3431.446302,25,25.91561939,14.7144911,15,285.1587302,410.5896313
Carex littledalei,1372548,359953582,29,0.003813125,344,104.3053058,104.3053058,0,5,9.14244186,8.834734714,620,931.754386,908.9674731
Carex myosuroides,2525543,400001627,29,0.006313832,391,384.1214438,256.0809626,128.0404813,5,11.73913043,11.88808834,40,634.4680851,1150.568968
Carex nigra,8889982,411401774,42,0.021609003,548,544.0055126,0,544.0055126,22.5,22.45437956,10.05686387,160,604.3452381,836.3034627
Carex pendula,12777008,362222763,31,0.035273896,757,4869.919875,2891.514926,1978.404949,25,23.02509908,11.67077723,25,217.3333333,340.9737634
Carex riparia,8080106,402799065,36,0.020059893,634,723.3817227,578.7053782,144.6763445,20,18.95899054,6.874286837,80,341.4285714,535.8030292
Carex rostrata,7297972,376029344,35,0.019407985,544,584.5944741,584.5944741,0,20,19.69669118,7.649667363,455,589.7142857,782.3616633
Carex spicata,11119347,384914043,29,0.02888787,379,4629.97589,2136.911949,2493.06394,30,53.00791557,73.72139345,445,645.7272727,751.170949
Carex sylvatica,7039073,362446279,29,0.019421011,571,3487.026251,2279.978702,1207.047548,20,18.26619965,9.457526257,170,411.8421053,535.2516361
Cyperus fuscus,1524671,221969790,18,0.006868822,68,667.135515,555.9462622,111.1892524,25,28.01470588,20.50008565,17.5,1988.863636,3426.444406
Eriophorum angustifolium,7152518,428626078,29,0.016687081,576,507.5498033,253.7749017,253.7749017,30,34.78298611,30.32570651,360,590,745.0472834
Eriophorum vaginatum,8378097,374393803,29,0.022377766,746,444.9714885,222.4857442,222.4857442,25,31.30697051,24.70227291,362.5,393.6607143,441.221951
Juncus effusus,23629075,238972964,21,0.098877608,336,279.3939944,139.6969972,139.6969972,20,75.53571429,186.6815756,2447.5,2506.785714,1892.01139
Juncus inflexus,41969794,319394212,21,0.131404366,427,0,0,0,25,101.9789227,217.4181774,3442.5,3609.166667,2327.689872
Juncus squarrosus,25439125,318470165,20,0.079879147,147,12.28833346,12.28833346,0,25,178.2653061,342.2156119,5095,5333.589744,3571.963368
Luzula pallescens,79211373,337662232,6,0.234587601,968,273.9444578,136.9722289,136.9722289,15,87.36053719,127.931322,90,208.3333333,237.2123457
Luzula sylvatica,99173426,430670785,6,0.230276651,1254,0,0,0,15,74.35406699,140.4825136,277.5,320.5,289.0737122
Rhynchospora breviuscula,14798338,370057226,5,0.039989323,1005,101.9721412,0,101.9721412,20,20.21393035,8.063431606,812.5,1102.5,839.9247651
Rhynchospora tenuis,7583194,350419914,2,0.021640306,909,0,0,0,15,14.32893289,6.238703365,345,353.75,33.26033674
Schoenus nigricans,102706673,769992393,21,0.133386607,828,288.0130232,75.13383214,212.8791911,30,128.1461353,292.972155,175,667.1428571,812.6855315
Scirpus sylvaticus,1055138,320572876,31,0.003291414,160,376.5414666,188.2707333,188.2707333,20,20.3125,9.511454531,1045,1511.916667,1738.689866
Trichophorum cespitosum,983692,315470570,52,0.003118174,400,1894.066941,673.4460233,1220.620917,5,8.6125,5.082018401,580,824.6534653,818.0920662
Bolboschoenus planiculmis,12113468,219596766.5,54,0.055162324,334,771.3881129,220.3966037,550.9915092,10,46.91633503,143.6019203,513.75,592.4385948,591.290182
