parent,child,fissions,fusions,rearrangements,branch_length,fission_rate,fusion_rate,rearrangement_rate
n27,Bolboschoenus_planiculmis,0,0,0,0.00334703,0,0,0
n60,Carex_acutiformis,4,4,8,0.0107348,372.61989044975223,372.61989044975223,745.2397808995045
n48,Carex_arenaria,0,2,2,0.00941064,0,212.5253967849158,212.5253967849158
n32,Carex_caryophyllea,18,15,33,0.0135916,1324.3473910356397,1103.622825863033,2427.970216898673
n42,Carex_depauperata,2,9,11,0.0133927,149.33508553167025,672.0078849,821.3429704241863
n64,Carex_distans,9,12,21,0.00825132,1090.7345733773507,1454.312764503134,2545.0473378804845
n52,Carex_divulsa,0,1,1,0.00299118,0,334.3162230290387,334.3162230290387
n40,Carex_echinata,9,14,23,0.00999683,900.2853904687786,1400.4439407292111,2300.7293311979897
n68,Carex_elata,0,1,1,0.00519551,0,192.47388610550263,192.47388610550263
n64,Carex_extensa,12,20,32,0.0101037,1187.6837198254104,1979.4728663756841,3167.156586201095
n66,Carex_hirta,19,1,20,0.00794505,2391.4261080798733,125.86453200420387,2517.2906400840775
n58,Carex_laevigata,26,34,60,0.00757698,3431.446301824738,4487.275933155426,7918.722234980164
n39,Carex_littledalei,0,1,1,0.00958724,0,104.30530580229555,104.30530580229555
n39,Carex_myosuroides,1,2,3,0.00781003,128.04048127856103,256.08096255712206,384.12144383568307
n68,Carex_nigra,3,0,3,0.00551465,544.0055125891942,0,544.0055125891942
n57,Carex_pendula,13,19,32,0.00657095,1978.4049490560726,2891.514925543491,4869.919874599564
n66,Carex_riparia,1,4,5,0.00691198,144.67634454960807,578.7053781984323,723.3817227480404
n59,Carex_rostrata,0,4,4,0.00684235,0,584.5944741207334,584.5944741207334
n52,Carex_spicata,7,6,13,0.00280779,2493.0639399670204,2136.911949,4629.975889
n57,Carex_sylvatica,9,17,26,0.00745621,1207.0475482852548,2279.9787023165927,3487.0262506018476
n28,Cyperus_fuscus,4,20,24,0.0359747,111.18925244685849,555.9462622342925,667.1355147
n28,Cyperus_rotundus,33,17,50,0.0523578,630.2785831337451,324.6889671,954.9675502
n21,Eleocharis_parvula,0,24,24,0.0821484,0,292.15419898622497,292.15419898622497
n38,Eriophorum_angustifolium,2,2,4,0.007881,253.77490166222557,253.77490166222557,507.54980332445115
n38,Eriophorum_vaginatum,2,2,4,0.00898934,222.48574422593873,222.48574422593873,444.97148845187746
n14,Juncus_effusus,2,2,4,0.0143167,139.6969972130449,139.6969972130449,279.3939944260898
n14,Juncus_inflexus,0,0,0,0.0164233,0,0,0
n8,Juncus_squarrosus,0,1,1,0.081378,0,12.288333456216668,12.288333456216668
n7,Luzula_pallescens,2,2,4,0.0146015,136.97222888059446,136.97222888059446,273.9444577611889
n7,Luzula_sylvatica,0,0,0,0.0137623,0,0,0
n6,n10,2,3,5,0.0123464,161.99053975247844,242.98580962871767,404.97634938119614
n8,n14,2,2,4,0.0502622,39.79133424322851,39.79133424322851,79.58266848645702
n10,n15,0,6,6,0.047089,0,127.41829301960118,127.41829301960118
n10,n16,21,0,21,0.0105906,1982.890488,0,1982.890488
n16,n21,0,0,0,0.0076721,0,0,0
n16,n22,1,0,1,0.0157961,63.306765594039035,0,63.306765594039035
n21,n24,5,0,5,0.00733082,682.0519396193059,0,682.0519396193059
n22,n25,1,1,2,0.00367406,272.1784619739471,272.1784619739471,544.3569239478942
n22,n26,7,11,18,0.0119242,587.0414786736218,922.4937522014056,1509.5352308750273
n24,n27,20,8,28,0.0362982,550.9915092208429,220.39660368833714,771.3881129
n24,n28,6,7,13,0.038601,155.4363876583508,181.34245226807593,336.77883992642677
n25,n30,2,9,11,0.013294,150.4438092372499,676.9971415676245,827.4409508048743
n26,n31,0,3,3,0.00171424,0,1750.0466679111444,1750.0466679111444
n26,n32,3,2,5,0.00619972,483.89282096610816,322.5952139774054,806.4880349435136
n30,n38,3,5,8,0.00533349,562.4834770478617,937.4724617464362,1499.955938794298
n31,n39,17,16,33,0.00932431,1823.1912066415637,1715.9446650744128,3539.1358717159765
n2,n4,1,2,3,0.115776,8.637368711995578,17.274737423991155,25.912106135986733
n31,n40,11,6,17,0.0115473,952.6036389459008,519.6019848795822,1472.205623825483
n32,n42,1,3,4,0.00129595,771.6347081291717,2314.904124387515,3086.538832516687
n40,n48,0,5,5,0.00167711,0,2981.319054802607,2981.319054802607
n4,n5,1,4,5,0.0698025,14.32613445077182,57.30453780308728,71.63067225
n42,n50,6,1,7,0.000996429,6021.502786450414,1003.5837977417357,7025.0865841921495
n48,n52,1,2,3,0.0073052,136.88879154574823,273.77758309149647,410.6663746372447
n50,n53,2,0,2,0.00410514,487.1941030025772,0,487.1941030025772
n50,n54,1,0,1,0.00117228,853.0385232197086,0,853.0385232197086
n53,n57,2,4,6,0.00133417,1499.0593402639843,2998.1186805279685,4497.178020791953
n53,n58,11,7,18,0.00315476,3486.7945580646387,2218.869264222952,5705.663822287591
n54,n59,3,5,8,0.00590303,508.21357845038904,847.0226307506484,1355.2362092010374
n4,n6,8,8,16,0.0509807,156.92212935483428,156.92212935483428,313.84425870966857
n54,n60,0,2,2,0.00122499,0,1632.6663891133805,1632.6663891133805
n58,n64,1,6,7,0.00181282,551.6267472777221,3309.760483666332,3861.387230944054
n59,n66,2,2,4,0.00117356,1704.2162309553837,1704.2162309553837,3408.4324619107674
n60,n68,3,2,5,0.00572886,523.6643939631969,349.1095959754646,872.7739899386615
n5,n7,4,4,8,0.0936879,42.694947800089444,42.694947800089444,85.38989560017889
n5,n8,15,0,15,0.0480691,312.05077690241757,0,312.05077690241757
n2,Oryza_sativa,14,10,24,0.243689,57.45027473542097,41.03591052530069,98.48618526072167
n15,Rhynchospora_breviuscula,3,0,3,0.0294198,101.97214121102115,0,101.97214121102115
n15,Rhynchospora_tenuis,0,0,0,0.0270608,0,0,0
n6,Schoenus_nigricans,17,6,23,0.0798575,212.87919105907397,75.13383214,288.0130231975707
n30,Scirpus_sylvaticus,2,2,4,0.010623,188.27073331450626,188.27073331450626,376.5414666290125
n25,Trichophorum_cespitosum,29,16,45,0.0237584,1220.6209172334839,673.4460233012325,1894.0669405347162
n27,x_Bolboschoenoplectus_mariqueter,0,0,0,0.00456428,0,0,0
