parent,child,fissions,fusions,rearrangements,branch_length,fission_rate,fusion_rate,rearrangement_rate,,C_parent
n26,n31,0,3,3,0.00171424,0,1750.0466679111444,1750.0466679111444,,26
n26,n32,3,2,5,0.00619972,483.89282096610816,322.5952139774054,806.4880349435136,,26
n31,n39,17,16,33,0.00932431,1823.1912066415637,1715.9446650744128,3539.1358717159765,,27
n31,n40,11,6,17,0.0115473,952.6036389459008,519.6019848795822,1472.205623825483,,27
n32,Carex_caryophyllea,18,15,33,0.0135916,1324.3473910356397,1103.622825863033,2427.970216898673,,29
n32,n42,1,3,4,0.00129595,771.6347081291717,2314.904124387515,3086.538832516687,,29
n39,Carex_littledalei,0,1,1,0.00958724,0,104.30530580229555,104.30530580229555,,30
n39,Carex_myosuroides,1,2,3,0.00781003,128.04048127856103,256.08096255712206,384.12144383568307,,30
n40,Carex_echinata,9,14,23,0.00999683,900.2853904687786,1400.4439407292111,2300.7293311979897,,34
n40,n48,0,5,5,0.00167711,0,2981.319054802607,2981.319054802607,,34
n42,Carex_depauperata,2,9,11,0.0133927,149.33508553167025,672.0078849,821.3429704241863,,27
n42,n50,6,1,7,0.000996429,6021.502786450414,1003.5837977417357,7025.0865841921495,,27
n48,Carex_arenaria,0,2,2,0.00941064,0,212.5253967849158,212.5253967849158,,29
n48,n52,1,2,3,0.0073052,136.88879154574823,273.77758309149647,410.6663746372447,,29
n50,n53,2,0,2,0.00410514,487.1941030025772,0,487.1941030025772,,32
n50,n54,1,0,1,0.00117228,853.0385232197086,0,853.0385232197086,,32
n52,Carex_divulsa,0,1,1,0.00299118,0,334.3162230290387,334.3162230290387,,28
n52,Carex_spicata,7,6,13,0.00280779,2493.0639399670204,2136.911949,4629.975889,,28
n53,n57,2,4,6,0.00133417,1499.0593402639843,2998.1186805279685,4497.178020791953,,38
n53,n58,11,7,18,0.00315476,3486.7945580646387,2218.869264222952,5705.663822287591,,38
n54,n59,3,5,8,0.00590303,508.21357845038904,847.0226307506484,1355.2362092010374,,38
n54,n60,0,2,2,0.00122499,0,1632.6663891133805,1632.6663891133805,,38
n57,Carex_pendula,13,19,32,0.00657095,1978.4049490560726,2891.514925543491,4869.919874599564,,36
n57,Carex_sylvatica,9,17,26,0.00745621,1207.0475482852548,2279.9787023165927,3487.0262506018476,,36
n58,Carex_laevigata,26,34,60,0.00757698,3431.446301824738,4487.275933155426,7918.722234980164,,42
n58,n64,1,6,7,0.00181282,551.6267472777221,3309.760483666332,3861.387230944054,,42
n59,Carex_rostrata,0,4,4,0.00684235,0,584.5944741207334,584.5944741207334,,36
n59,n66,2,2,4,0.00117356,1704.2162309553837,1704.2162309553837,3408.4324619107674,,36
n60,Carex_acutiformis,4,4,8,0.0107348,372.61989044975223,372.61989044975223,745.2397808995045,,36
n60,n68,3,2,5,0.00572886,523.6643939631969,349.1095959754646,872.7739899386615,,36
n64,Carex_distans,9,12,21,0.00825132,1090.7345733773507,1454.312764503134,2545.0473378804845,,37
n64,Carex_extensa,12,20,32,0.0101037,1187.6837198254104,1979.4728663756841,3167.156586201095,,37
n66,Carex_hirta,19,1,20,0.00794505,2391.4261080798733,125.86453200420387,2517.2906400840775,,37
n66,Carex_riparia,1,4,5,0.00691198,144.67634454960807,578.7053781984323,723.3817227480404,,37
n68,Carex_elata,0,1,1,0.00519551,0,192.47388610550263,192.47388610550263,,37
n68,Carex_nigra,3,0,3,0.00551465,544.0055125891942,0,544.0055125891942,,37
