Species,Heterozygosity,Het_binary
Bolboschoenus_planiculmis,0.0176,High
Carex_acutiformis,0.012,High
Carex_arenaria,0.00438,Low
Carex_caryophyllea,0.0151,High
Carex_depauperata,0.0157,High
Carex_distans,0.00777,High
Carex_divulsa,0.000568,Low
Carex_echinata,0.00161,Low
Carex_elata,0.0213,High
Carex_extensa,0.00144,Low
Carex_hirta,0.00954,High
Carex_laevigata,0.00419,Low
Carex_myosuroides,0.00405,Low
Carex_nigra,0.0215,High
Carex_pendula,0.00132,Low
Carex_riparia,0.0154,High
Carex_rostrata,0.0135,High
Carex_spicata,0.00131,Low
Carex_sylvatica,0.00223,Low
Cyperus_fuscus,0.00088,Low
Cyperus_rotundus,0.0273,High
Eleocharis_parvula,0.0165,High
Eriophorum_angustifolium,0.0133,High
Eriophorum_vaginatum,0.0145,High
Luzula_pallescens,0.00075,Low
Luzula_sylvatica,0.00958,High
Rhynchospora_breviuscula,0.011,High
Rhynchospora_tenuis,0.0291,High
Schoenus_nigricans,0.00896,High
Scirpus_sylvaticus,0.00124,Low
Trichophorum_cespitosum,0.00326,Low
