chromosome,length_bp
OZ060182.1,45710464
OZ060183.1,23383883
OZ060184.1,22772558
OZ060185.1,16294781
OZ060186.1,16229933
OZ060187.1,15796078
OZ060188.1,15389889
OZ060189.1,15210454
OZ060190.1,15200416
OZ060191.1,13437251
OZ060192.1,13408649
OZ060193.1,13211700
OZ060194.1,13119639
OZ060195.1,12897237
OZ060196.1,12177561
OZ060197.1,12172255
OZ060198.1,11461402
OZ060199.1,11253157
OZ060200.1,10917267
OZ060201.1,10822514
OZ060202.1,10610541
OZ060203.1,10536398
OZ060204.1,10503670
OZ060205.1,9680089
OZ060206.1,9240458
OZ060207.1,8679981
OZ060208.1,7980334
OZ060209.1,1043826
OZ060210.1,330029
OZ060211.1,183844
