chr	group	break_start	break_end	class
OZ060149.1	1	550000	970000	undefined
OZ060149.1	2	7380000	7760000	fusion in Carex sylvatica
OZ060149.1	3	17800000	17950000	fusion in Carex sylvatica
OZ060150.1	4	12910000	13010000	fission in Carex pendula
OZ060151.1	5	4790000	6080000	fusion in Carex sylvatica
OZ060151.1	6	13510000	13640000	fusion in Carex sylvatica
OZ060151.1	7	15040000	15100000	fission in Carex pendula
OZ060152.1	8	7640000	7760000	fusion in Carex sylvatica
OZ060153.1	9	7460000	7680000	fusion in Carex sylvatica
OZ060154.1	10	5590000	5760000	fusion in Carex sylvatica
OZ060154.1	11	6780000	6890000	fission in Carex pendula
OZ060154.1	12	8740000	8990000	fusion in Carex sylvatica
OZ060155.1	13	6550000	6840000	fusion in Carex sylvatica
OZ060155.1	14	9370000	9690000	fission in Carex pendula
OZ060156.1	15	4120000	4330000	fusion in Carex sylvatica
OZ060156.1	16	10310000	10480000	undefined
OZ060156.1	17	11680000	11840000	undefined
OZ060157.1	18	7400000	7450000	fusion in Carex sylvatica
OZ060158.1	19	1380000	1620000	fission in Carex pendula
OZ060158.1	20	8970000	9090000	fission in Carex pendula
OZ060158.1	21	13400000	13630000	undefined
OZ060162.1	22	6880000	6980000	undefined
OZ060163.1	23	10660000	10780000	undefined
OZ060164.1	24	5200000	5420000	fusion in Carex sylvatica
OZ060165.1	25	2990000	3120000	fission in Carex pendula
OZ060165.1	26	8910000	9230000	fission in Carex pendula
OZ060167.1	27	1810000	1970000	fusion in Carex sylvatica
OZ060167.1	28	3540000	3750000	fusion in Carex sylvatica
OZ060168.1	29	1920000	2050000	undefined
OZ060168.1	30	4080000	4370000	fusion in Carex sylvatica
OZ060168.1	31	5370000	5630000	fusion in Carex sylvatica
OZ060169.1	32	8820000	9120000	fission in Carex pendula
OZ060170.1	33	6e+05	730000	undefined
OZ060170.1	34	5320000	5480000	fusion in Carex sylvatica
OZ060171.1	35	5630000	5810000	fusion in Carex sylvatica
OZ060172.1	36	910000	1120000	undefined
OZ060172.1	37	3120000	3410000	undefined
OZ060172.1	38	4430000	4560000	fusion in Carex sylvatica
OZ060173.1	39	6310000	6730000	fission in Carex pendula
OZ060174.1	40	2180000	2270000	fission in Carex pendula
OZ060174.1	41	5420000	5520000	fusion in Carex sylvatica
OZ060176.1	42	3080000	3330000	fission in Carex pendula
