chr	group	break_start	break_end	class
CM051464.1	1	2010000	2250000	undefined
CM051464.1	2	9030000	13900000	undefined
CM051464.1	3	15140000	18150000	undefined
CM051465.1	4	1190000	2800000	undefined
CM051465.1	5	4720000	4810000	undefined
CM051465.1	6	6630000	7940000	undefined
CM051465.1	7	15320000	16540000	undefined
CM051467.1	8	2700000	3720000	undefined
CM051467.1	9	5130000	5530000	undefined
CM051468.1	10	12620000	12760000	undefined
CM051469.1	11	1950000	2180000	fusion in Carex myosuroides
CM051470.1	12	3680000	4900000	undefined
CM051479.1	13	770000	1520000	undefined
CM051479.1	14	2550000	3710000	undefined
CM051479.1	15	4800000	6590000	undefined
CM051479.1	16	15610000	15880000	undefined
CM051483.1	17	7710000	9070000	undefined
CM051491.1	18	2610000	4040000	fusion in Carex myosuroides
CM051491.1	19	6270000	9480000	fission in Carex littledalei
CM051491.1	20	12540000	13210000	undefined
CM051492.1	21	1e+06	1570000	undefined
