chr	group	break_start	break_end	class
CM022079.1	1	580000	4790000	undefined
CM022079.1	2	5790000	19160000	undefined
CM022080.1	3	930000	9730000	undefined
CM022080.1	4	11700000	13120000	undefined
CM022080.1	5	15760000	17670000	undefined
CM022081.1	6	620000	1980000	undefined
CM022081.1	7	4060000	4890000	undefined
CM022081.1	8	6570000	10490000	undefined
CM022081.1	9	13890000	14320000	undefined
CM022081.1	10	16200000	16370000	undefined
CM022082.1	11	570000	5870000	undefined
CM022082.1	12	7120000	9260000	undefined
CM022082.1	13	10900000	13240000	undefined
CM022082.1	14	16140000	16460000	undefined
CM022083.1	15	720000	1990000	undefined
CM022083.1	16	3870000	4830000	undefined
CM022083.1	17	6860000	11380000	undefined
CM022083.1	18	13640000	14160000	undefined
CM022084.1	19	540000	1270000	undefined
CM022084.1	20	7310000	8770000	fusion in Carex littledalei
CM022084.1	21	11880000	12770000	undefined
CM022085.1	22	2230000	3180000	undefined
CM022085.1	23	5880000	8220000	undefined
CM022085.1	24	10650000	11770000	undefined
CM022085.1	25	14430000	14960000	undefined
CM022086.1	26	7590000	8410000	undefined
CM022087.1	27	9880000	10490000	undefined
CM022087.1	28	13670000	14150000	undefined
CM022089.1	29	14150000	14220000	undefined
CM022093.1	30	4410000	5480000	undefined
CM022093.1	31	11360000	11730000	undefined
CM022094.1	32	560000	1970000	undefined
CM022095.1	33	8820000	9180000	undefined
CM022096.1	34	10550000	10630000	undefined
CM022097.1	35	4230000	4830000	undefined
CM022098.1	36	690000	2730000	undefined
CM022098.1	37	4250000	5e+06	undefined
CM022098.1	38	7020000	7440000	undefined
CM022099.1	39	3200000	4420000	undefined
CM022101.1	40	4920000	5160000	undefined
CM022101.1	41	7300000	7410000	undefined
CM022105.1	42	860000	970000	undefined
CM022105.1	43	6310000	6720000	undefined
CM022106.1	44	4620000	5180000	undefined
