chromosome,length_bp
OZ223707.1,17629297
OZ223708.1,16861322
OZ223709.1,15804501
OZ223710.1,13186355
OZ223711.1,12380884
OZ223712.1,12282546
OZ223713.1,12083627
OZ223714.1,11877608
OZ223715.1,11415730
OZ223716.1,11245251
OZ223717.1,10546670
OZ223718.1,10314057
OZ223719.1,10176075
OZ223720.1,10141580
OZ223721.1,10131633
OZ223722.1,10061403
OZ223723.1,10057869
OZ223724.1,9953802
OZ223725.1,9718742
OZ223726.1,9439504
OZ223727.1,9270522
OZ223728.1,9007359
OZ223729.1,8444019
OZ223730.1,7998057
OZ223731.1,7815049
OZ223732.1,7555130
OZ223733.1,7311443
OZ223734.1,7290502
OZ223735.1,6922304
OZ223736.1,6836744
OZ223737.1,6813291
OZ223738.1,1363674
OZ223739.1,591549
OZ223740.1,97552
OZ223741.1,10251
OZ223742.1,64979
OZ335700.1,195261
