chromosome,length_bp
OZ060149.1,21080298
OZ060150.1,17368264
OZ060151.1,17226345
OZ060152.1,16173301
OZ060153.1,15646554
OZ060154.1,14785061
OZ060155.1,14618549
OZ060156.1,14571814
OZ060157.1,14364880
OZ060158.1,14227534
OZ060159.1,14068580
OZ060160.1,13811235
OZ060161.1,13298948
OZ060162.1,13112904
OZ060163.1,12572611
OZ060164.1,12505900
OZ060165.1,12496627
OZ060166.1,10979188
OZ060167.1,10714678
OZ060168.1,10135356
OZ060169.1,10119424
OZ060170.1,9954388
OZ060171.1,9368668
OZ060172.1,9202222
OZ060173.1,9026301
OZ060174.1,8430736
OZ060175.1,7674501
OZ060176.1,7545484
OZ060177.1,7365928
OZ060178.1,1715644
OZ060179.1,74779
OZ060180.1,77369
OZ060181.1,215139
