chromosome,length_bp
OZ202074.1,24968250
OZ202075.1,24594480
OZ202076.1,23839641
OZ202077.1,23636677
OZ202078.1,20641512
OZ202079.1,20295936
OZ202080.1,20219479
OZ202081.1,20193825
OZ202082.1,19368897
OZ202083.1,17783645
OZ202084.1,16157203
OZ202085.1,15492214
OZ202086.1,15385639
OZ202087.1,15297501
OZ202088.1,14439461
OZ202089.1,14235346
OZ202090.1,13895823
OZ202091.1,13781554
OZ202092.1,13627520
OZ202093.1,13359244
OZ202094.1,13263204
OZ202095.1,13062054
OZ202096.1,12934045
OZ202097.1,12779799
OZ202098.1,12651249
OZ202099.1,12251242
OZ202100.1,11876096
OZ202101.1,11631513
OZ202102.1,11370558
OZ202103.1,11147306
OZ202104.1,11083175
OZ202105.1,10550757
OZ202106.1,10444908
OZ202107.1,10164777
OZ202108.1,986218
OZ202109.1,69698
OZ202110.1,25958
OZ202111.1,179402
OZ335744.1,226554
