chromosome,length_bp
OZ060212.1,19893119
OZ060213.1,19296752
OZ060214.1,17175274
OZ060215.1,16045346
OZ060216.1,15757254
OZ060217.1,15723807
OZ060218.1,14758407
OZ060219.1,14078564
OZ060220.1,13285561
OZ060221.1,13104101
OZ060222.1,13020464
OZ060223.1,12567026
OZ060224.1,12315031
OZ060225.1,11821128
OZ060226.1,11817278
OZ060227.1,10999958
OZ060228.1,10799135
OZ060229.1,10733506
OZ060230.1,10261223
OZ060231.1,9917065
OZ060232.1,9853000
OZ060233.1,9193238
OZ060234.1,9124361
OZ060235.1,8171421
OZ060236.1,8039115
OZ060237.1,7764091
OZ060238.1,7574825
OZ060239.1,7474763
OZ060240.1,7271244
OZ060241.1,7200024
OZ060242.1,7186682
OZ060243.1,1441904
OZ060244.1,420805
OZ060245.1,212052
