chr	group	break_start	break_end	class
OZ205459.1	1	8180000	8600000	fusion in Carex extensa
OZ205459.1	2	16970000	17600000	inversion
OZ205459.1	3	20500000	20800000	fusion in Carex extensa
OZ205460.1	4	1710000	2010000	fusion in Carex extensa
OZ205460.1	5	5980000	6100000	fission in Carex distans
OZ205460.1	6	11900000	12850000	fission in Carex distans
OZ205461.1	7	7540000	7680000	fusion in Carex extensa
OZ205462.1	8	6310000	6370000	fission in Carex distans
OZ205462.1	9	8970000	9070000	fusion in Carex extensa
OZ205464.1	10	5570000	6750000	fusion in Carex extensa
OZ205465.1	11	7730000	8350000	undefined
OZ205466.1	12	7110000	7310000	fusion in Carex extensa
OZ205468.1	13	3410000	6170000	fusion in Carex extensa
OZ205468.1	14	8720000	9090000	fusion in Carex extensa
OZ205469.1	15	2860000	3080000	fusion in Carex extensa
OZ205469.1	16	7830000	8030000	fusion in Carex extensa
OZ205470.1	17	7040000	7590000	fusion in Carex extensa
OZ205471.1	18	5670000	5940000	fission in Carex distans
OZ205472.1	19	5770000	5890000	fusion in Carex extensa
OZ205473.1	20	4610000	4760000	fusion in Carex extensa
OZ205475.1	21	2860000	3650000	fusion in Carex extensa
OZ205475.1	22	8020000	8320000	fusion in Carex extensa
OZ205476.1	23	1740000	2780000	fusion in Carex extensa
OZ205476.1	24	5840000	5940000	fission in Carex distans
OZ205477.1	25	4740000	4890000	fusion in Carex extensa
OZ205478.1	26	2030000	2130000	fission in Carex distans
OZ205479.1	27	4630000	4770000	fission in Carex distans
OZ205480.1	28	4270000	4540000	fusion in Carex extensa
OZ205481.1	29	830000	1420000	fusion in Carex extensa
OZ205482.1	30	3970000	4870000	fusion in Carex extensa
OZ205482.1	31	6870000	6940000	undefined
OZ205484.1	32	5860000	6050000	fission in Carex distans
OZ205486.1	33	6e+06	6400000	undefined
OZ205487.1	34	1120000	2460000	undefined
OZ205487.1	35	4330000	4430000	fusion in Carex extensa
