chromosome,length_bp
OZ217858.1,10528453
OZ217859.1,8569834
OZ217860.1,8520831
OZ217861.1,8414784
OZ217862.1,8101493
OZ217863.1,7894580
OZ217864.1,7866338
OZ217865.1,7756611
OZ217866.1,7624007
OZ217867.1,7610558
OZ217868.1,7191604
OZ217869.1,7114979
OZ217870.1,6948593
OZ217871.1,6769086
OZ217872.1,6744486
OZ217873.1,6552537
OZ217874.1,6474673
OZ217875.1,6246677
OZ217876.1,6186919
OZ217877.1,5946349
OZ217878.1,5906299
OZ217879.1,5791148
OZ217880.1,5783845
OZ217881.1,5741607
OZ217882.1,5719829
OZ217883.1,5683668
OZ217884.1,5629802
OZ217885.1,5625427
OZ217886.1,5548925
OZ217887.1,5468491
OZ217888.1,5224617
OZ217889.1,5211319
OZ217890.1,5066908
OZ217891.1,5018720
OZ217892.1,4894710
OZ217893.1,4871081
OZ217894.1,4683927
OZ217895.1,4581549
OZ217896.1,4561462
OZ217897.1,4546839
OZ217898.1,4540386
OZ217899.1,4412386
OZ217900.1,4410431
OZ217901.1,4399201
OZ217902.1,4254963
OZ217903.1,4148679
OZ217904.1,4115978
OZ217905.1,3954401
OZ217906.1,3903265
OZ217907.1,3475797
OZ217908.1,3292111
OZ217909.1,3165664
OZ217910.1,3121744
OZ217911.1,2842131
OZ217912.1,2803242
OZ217913.1,2586193
OZ217914.1,385102
OZ217915.1,1038307
OZ217916.1,214790
