chromosome,length_bp
OZ206386.1,20890370
OZ206387.1,17070527
OZ206388.1,15836360
OZ206389.1,15657945
OZ206390.1,15139164
OZ206391.1,14836008
OZ206392.1,14620676
OZ206393.1,14163455
OZ206394.1,14001633
OZ206395.1,13157746
OZ206396.1,12188090
OZ206397.1,12001361
OZ206398.1,11283505
OZ206399.1,11223307
OZ206400.1,11218380
OZ206401.1,11124292
OZ206402.1,11107949
OZ206403.1,10921885
OZ206404.1,10614317
OZ206405.1,10287918
OZ206406.1,10236453
OZ206407.1,9862866
OZ206408.1,9675297
OZ206409.1,9594331
OZ206410.1,9310174
OZ206411.1,9244721
OZ206412.1,9184456
OZ206413.1,8966863
OZ206414.1,8821567
OZ206415.1,8685472
OZ206416.1,8420453
OZ206417.1,8301538
OZ206418.1,7039040
OZ206419.1,6230371
OZ206420.1,6077671
OZ206421.1,5802904
OZ206422.1,412499
OZ206423.1,146988
OZ206424.1,105269
OZ206425.1,67717
OZ206426.1,91357
OZ206427.1,94556
OZ206428.1,273312
OZ335705.1,216812
