chromosome,length_bp
OZ253276.1,21806699
OZ253277.1,19429128
OZ253278.1,15766389
OZ253279.1,15120273
OZ253280.1,14462617
OZ253281.1,14109756
OZ253282.1,13626156
OZ253283.1,13003143
OZ253284.1,12967244
OZ253285.1,12359246
OZ253286.1,11965402
OZ253287.1,11484648
OZ253288.1,11366663
OZ253289.1,11210201
OZ253290.1,10681593
OZ253291.1,10679240
OZ253292.1,10546704
OZ253293.1,10494420
OZ253294.1,10172966
OZ253295.1,10123794
OZ253296.1,9739588
OZ253297.1,9730784
OZ253298.1,9172265
OZ253299.1,8863545
OZ253300.1,8800604
OZ253301.1,8691428
OZ253302.1,8004723
OZ253303.1,7896625
OZ253304.1,7766684
OZ253305.1,7575708
OZ253306.1,7472992
OZ253307.1,7329907
OZ253308.1,7194082
OZ253309.1,7159438
OZ253310.1,7052067
OZ253311.1,6937338
OZ253312.1,5885273
OZ253313.1,5426774
OZ253314.1,2762298
OZ253315.1,2760025
OZ253316.1,1078568
OZ253317.1,15666
OZ253318.1,100556
OZ253319.1,129904
OZ337051.1,213592
