chromosome,length_bp
CM062750.1,4311779
CM062751.1,4514732
CM062752.1,3612616
CM062753.1,3160892
CM062754.1,3600000
CM062755.1,3697822
CM062756.1,9066051
CM062757.1,3847507
CM062758.1,4204190
CM062759.1,4848874
CM062760.1,4580628
CM062761.1,4545057
CM062762.1,3296652
CM062763.1,4494637
CM062764.1,4483816
CM062765.1,4434055
CM062766.1,4432314
CM062767.1,4367199
CM062768.1,4257965
CM062769.1,4233562
CM062770.1,4283481
CM062771.1,4155960
CM062772.1,4186659
CM062773.1,4181024
CM062774.1,4910826
CM062775.1,4133938
CM062776.1,3988139
CM062777.1,4057730
CM062778.1,4050766
CM062779.1,4037645
CM062780.1,3895281
CM062781.1,3877454
CM062782.1,3864603
CM062783.1,3844858
CM062784.1,3746341
CM062785.1,3700540
CM062786.1,3685084
CM062787.1,4671697
CM062788.1,3280932
CM062789.1,3203498
CM062790.1,3557702
CM062791.1,3565639
CM062792.1,3514482
CM062793.1,3474388
CM062794.1,3410339
CM062795.1,3438538
CM062796.1,3437572
CM062797.1,3567085
CM062798.1,3327389
CM062799.1,3325647
CM062800.1,3280547
CM062801.1,6335259
CM062802.1,3222264
CM062803.1,5313725
