chromosome,length_bp
OZ277373.1,73774427
OZ277374.1,49669960
OZ277375.1,43812618
OZ277376.1,41564868
OZ277377.1,41350767
OZ277378.1,40469237
OZ277379.1,39133425
OZ277380.1,38215946
OZ277381.1,38118163
OZ277382.1,36737198
OZ277383.1,36512541
OZ277384.1,35126180
OZ277385.1,32877710
OZ277386.1,31711859
OZ277387.1,30627533
OZ277388.1,30073268
OZ277389.1,29732852
OZ277390.1,29399474
OZ277391.1,28260402
OZ277392.1,21489263
OZ277393.1,21334702
OZ277394.1,1236502
OZ277395.1,89476
OZ277396.1,224810
OZ277397.1,52535
OZ277398.1,70215
