chromosome,length_bp
OZ238269.1,9560889
OZ238270.1,9444410
OZ238271.1,9119142
OZ238272.1,8879164
OZ238273.1,8223416
OZ238274.1,7859784
OZ238275.1,7837987
OZ238276.1,7802689
OZ238277.1,7740092
OZ238278.1,7670114
OZ238279.1,7597378
OZ238280.1,7438277
OZ238281.1,7275792
OZ238282.1,7105030
OZ238283.1,7057919
OZ238284.1,7050977
OZ238285.1,7039679
OZ238286.1,7036417
OZ238287.1,6902201
OZ238288.1,6840927
OZ238289.1,6716932
OZ238290.1,6462160
OZ238291.1,6419735
OZ238292.1,6401908
OZ238293.1,6396480
OZ238294.1,6264427
OZ238295.1,6168219
OZ238296.1,6126780
OZ238297.1,5840324
OZ238298.1,5840071
OZ238299.1,5836004
OZ238300.1,5639075
OZ238301.1,5592943
OZ238302.1,5471371
OZ238303.1,5470044
OZ238304.1,5370418
OZ238305.1,5225727
OZ238306.1,4772464
OZ238307.1,4619362
OZ238308.1,4385701
OZ238309.1,4342095
OZ238310.1,4330418
OZ238311.1,4123015
OZ238312.1,4118644
OZ238313.1,4024118
OZ238314.1,3942829
OZ238315.1,3604822
OZ238316.1,3530985
OZ238317.1,3374849
OZ238318.1,3364555
OZ238319.1,3134758
OZ238320.1,3077053
OZ238321.1,1508756
OZ238322.1,19848
