chr	group	break_start	break_end	class
OZ259035.1	1	890000	1830000	undefined
OZ259035.1	2	11300000	11380000	undefined
OZ259035.1	3	18860000	19030000	undefined
OZ259035.1	4	20480000	20630000	undefined
OZ259036.1	5	12630000	13260000	fission in Eriophorum vaginatum
OZ259037.1	6	12850000	13310000	undefined
OZ259037.1	7	16290000	18740000	undefined
OZ259038.1	8	750000	2270000	undefined
OZ259038.1	9	16120000	16270000	undefined
OZ259039.1	10	4950000	5310000	undefined
OZ259039.1	11	8360000	9080000	undefined
OZ259039.1	12	15800000	18620000	undefined
OZ259040.1	13	17280000	18100000	undefined
OZ259041.1	14	7530000	7740000	undefined
OZ259041.1	15	13150000	14320000	undefined
OZ259042.1	16	590000	1200000	undefined
OZ259042.1	17	8330000	8710000	undefined
OZ259048.1	18	3290000	3630000	undefined
OZ259050.1	19	7790000	7930000	undefined
OZ259050.1	20	12610000	12730000	undefined
OZ259053.1	21	12340000	12510000	undefined
OZ259055.1	22	1020000	1320000	undefined
OZ259056.1	23	1300000	1570000	fusion in Eriophorum angustifolium
OZ259057.1	24	1430000	1840000	undefined
OZ259057.1	25	4230000	4490000	fission in Eriophorum vaginatum
OZ259057.1	26	5760000	6020000	undefined
OZ259058.1	27	1370000	1490000	undefined
OZ259059.1	28	6690000	7050000	undefined
OZ259059.1	29	9130000	9400000	undefined
OZ259060.1	30	5500000	5600000	undefined
OZ259061.1	31	1160000	1260000	fusion in Eriophorum angustifolium
OZ259062.1	32	1e+06	1400000	undefined
