chr	group	break_start	break_end	class
OZ241426.1	1	6730000	8280000	undefined
OZ241426.1	2	10220000	11040000	undefined
OZ241426.1	3	13340000	16540000	undefined
OZ241427.1	4	2740000	3010000	undefined
OZ241427.1	5	6860000	8490000	undefined
OZ241427.1	6	11500000	11890000	undefined
OZ241427.1	7	15210000	15810000	undefined
OZ241428.1	8	1360000	2370000	undefined
OZ241428.1	9	3570000	3910000	undefined
OZ241428.1	10	10620000	11470000	undefined
OZ241428.1	11	13820000	15850000	undefined
OZ241429.1	12	550000	4600000	undefined
OZ241430.1	13	1370000	1450000	undefined
OZ241430.1	14	4690000	4980000	fusion in Eriophorum vaginatum
OZ241430.1	15	9350000	9440000	undefined
OZ241431.1	16	1230000	2580000	undefined
OZ241432.1	17	4040000	6760000	undefined
OZ241432.1	18	8850000	10360000	undefined
OZ241433.1	19	1080000	1270000	undefined
OZ241433.1	20	3730000	4140000	undefined
OZ241433.1	21	8360000	8790000	undefined
OZ241433.1	22	10240000	11080000	undefined
OZ241433.1	23	12770000	13220000	undefined
OZ241434.1	24	9e+05	1870000	undefined
OZ241434.1	25	9e+06	10620000	undefined
OZ241435.1	26	4610000	4910000	fusion in Eriophorum vaginatum
OZ241436.1	27	1290000	1900000	undefined
OZ241437.1	28	11150000	12090000	undefined
OZ241438.1	29	7590000	9350000	undefined
OZ241444.1	30	570000	1490000	undefined
OZ241444.1	31	7480000	9110000	undefined
OZ241444.1	32	10760000	10820000	undefined
OZ241445.1	33	7960000	8550000	undefined
OZ241445.1	34	9680000	10410000	undefined
OZ241446.1	35	9310000	11090000	fission in Eriophorum angustifolium
OZ241447.1	36	880000	1050000	undefined
OZ241447.1	37	2470000	3280000	undefined
OZ241447.1	38	7310000	7830000	undefined
OZ241447.1	39	10980000	11040000	undefined
OZ241448.1	40	560000	1580000	undefined
OZ241448.1	41	6490000	6770000	undefined
OZ241448.1	42	9630000	9940000	fission in Eriophorum angustifolium
OZ241449.1	43	5640000	7e+06	undefined
OZ241450.1	44	3420000	4500000	undefined
OZ241450.1	45	10170000	10740000	undefined
OZ241451.1	46	890000	1150000	undefined
OZ241451.1	47	4320000	5330000	undefined
OZ241452.1	48	2090000	2450000	undefined
OZ241452.1	49	6820000	9300000	undefined
OZ241453.1	50	550000	3160000	undefined
OZ241453.1	51	5500000	6920000	undefined
OZ241453.1	52	8500000	8940000	undefined
OZ241454.1	53	1450000	3670000	undefined
OZ241454.1	54	9450000	10200000	undefined
