chromosome,length_bp
OZ205459.1,24327583
OZ205460.1,16632925
OZ205461.1,15395816
OZ205462.1,12796197
OZ205463.1,12319611
OZ205464.1,12095913
OZ205465.1,12033094
OZ205466.1,11362620
OZ205467.1,11338791
OZ205468.1,11209559
OZ205469.1,10760982
OZ205470.1,10670721
OZ205471.1,10467325
OZ205472.1,10226211
OZ205473.1,9558797
OZ205474.1,9261297
OZ205475.1,9104189
OZ205476.1,8938889
OZ205477.1,8391830
OZ205478.1,8258547
OZ205479.1,8006909
OZ205480.1,7682944
OZ205481.1,7627320
OZ205482.1,7623033
OZ205483.1,7561397
OZ205484.1,7323960
OZ205485.1,7198042
OZ205486.1,6978293
OZ205487.1,6879783
OZ205488.1,6466849
OZ205489.1,1769201
OZ205490.1,214338
