chromosome,length_bp
OZ207253.1,14817928
OZ207254.1,14060481
OZ207255.1,13937836
OZ207256.1,13764122
OZ207257.1,12212097
OZ207258.1,12035696
OZ207259.1,11807450
OZ207260.1,11532203
OZ207261.1,11243505
OZ207262.1,11224662
OZ207263.1,11176794
OZ207264.1,11157848
OZ207265.1,11015612
OZ207266.1,10835328
OZ207267.1,10519107
OZ207268.1,10205690
OZ207269.1,9990340
OZ207270.1,9783144
OZ207271.1,9708356
OZ207272.1,9311340
OZ207273.1,9258835
OZ207274.1,9140666
OZ207275.1,9092408
OZ207276.1,9088368
OZ207277.1,8915458
OZ207278.1,8893742
OZ207279.1,8863813
OZ207280.1,8798485
OZ207281.1,8775918
OZ207282.1,8353900
OZ207283.1,8491853
OZ207284.1,8452481
OZ207285.1,8196667
OZ207286.1,8045193
OZ207287.1,7587172
OZ207288.1,7383083
OZ207289.1,7234090
OZ207290.1,6782994
OZ207291.1,6498339
OZ207292.1,931649
OZ207293.1,340141
OZ207294.1,17682
OZ207295.1,31407
OZ207296.1,32361
OZ335703.1,238898
