chr	group	break_start	break_end	class
OZ060182.1	1	10180000	10340000	fission in Carex spicata
OZ060182.1	2	20770000	24050000	fission in Carex spicata
OZ060183.1	3	7080000	7420000	fusion in Carex divulsa
OZ060183.1	4	17970000	18190000	fusion in Carex divulsa
OZ060184.1	5	1140000	1210000	undefined
OZ060185.1	6	5840000	5950000	fission in Carex spicata
OZ060189.1	7	9680000	9800000	fission in Carex spicata
OZ060205.1	8	6450000	6680000	fission in Carex spicata
OZ060206.1	9	4220000	4290000	fission in Carex spicata
OZ060207.1	10	4500000	4710000	fission in Carex spicata
