chromosome,length_bp
OZ257360.1,18194888
OZ257361.1,17706971
OZ257362.1,17013156
OZ257363.1,15775673
OZ257364.1,15320100
OZ257365.1,15137620
OZ257366.1,14613471
OZ257367.1,14594867
OZ257368.1,13976003
OZ257369.1,13920977
OZ257370.1,13763346
OZ257371.1,13726016
OZ257372.1,13577040
OZ257373.1,13330540
OZ257374.1,13277494
OZ257375.1,13034726
OZ257376.1,12484191
OZ257377.1,12378919
OZ257378.1,12274116
OZ257379.1,12222066
OZ257380.1,11900408
OZ257381.1,11863505
OZ257382.1,10586928
OZ257383.1,10397212
OZ257384.1,9851518
OZ257385.1,9846345
OZ257386.1,9586404
OZ257387.1,9318585
OZ257388.1,8716537
OZ257389.1,1637334
OZ257390.1,179086
