chromosome,length_bp
OZ211079.1,19386858
OZ211080.1,18046314
OZ211081.1,18467650
OZ211082.1,14754524
OZ211083.1,12781696
OZ211084.1,12434938
OZ211085.1,12004888
OZ211086.1,11818568
OZ211087.1,11803965
OZ211088.1,11229315
OZ211089.1,10608719
OZ211090.1,10182510
OZ211091.1,10093854
OZ211092.1,9926076
OZ211093.1,9776848
OZ211094.1,9744781
OZ211095.1,9197350
OZ211096.1,9036040
OZ211097.1,8910213
OZ211098.1,8874604
OZ211099.1,8804155
OZ211100.1,8405669
OZ211101.1,8231169
OZ211102.1,7969184
OZ211103.1,7826624
OZ211104.1,7735985
OZ211105.1,7634541
OZ211106.1,7577230
OZ211107.1,7237276
OZ211108.1,7153923
OZ211109.1,7124695
OZ211110.1,6826137
OZ211111.1,6485650
OZ211112.1,6609681
OZ211113.1,6178024
OZ211114.1,2481736
OZ211115.1,18629
OZ335702.1,200949
