chromosome,length_bp
OZ060077.1,20752371
OZ060078.1,18543432
OZ060079.1,16349199
OZ060080.1,15289207
OZ060081.1,15282000
OZ060082.1,14809854
OZ060083.1,14730194
OZ060084.1,14635664
OZ060085.1,13938785
OZ060086.1,13815217
OZ060087.1,13722338
OZ060088.1,13361658
OZ060089.1,12529801
OZ060090.1,10816126
OZ060091.1,10631326
OZ060092.1,10564641
OZ060093.1,10550787
OZ060094.1,9957153
OZ060095.1,9644170
OZ060096.1,9387312
OZ060097.1,8955868
OZ060098.1,8866768
OZ060099.1,8716570
OZ060100.1,8677666
OZ060101.1,8216495
OZ060102.1,7690852
OZ060103.1,7596578
OZ060104.1,7287770
OZ060105.1,7006932
OZ060106.1,6533370
OZ060107.1,6292501
OZ060108.1,5730318
OZ060109.1,5432221
OZ060110.1,5028182
OZ060111.1,4686018
OZ060112.1,1390230
OZ060113.1,40249
OZ060114.1,128550
OZ060115.1,22309
OZ060116.1,220951
