chromosome,length_bp
OZ078168.1,43853459
OZ078169.1,41425296
OZ078170.1,40029614
OZ078171.1,39642558
OZ078172.1,38677444
OZ078173.1,37888662
OZ078174.1,36803170
OZ078175.1,33603045
OZ078176.1,33581470
OZ078177.1,32579503
OZ078178.1,31133983
OZ078179.1,28512265
OZ078180.1,28034638
OZ078181.1,27806842
OZ078182.1,27272816
OZ078183.1,27112062
OZ078184.1,25568295
OZ078185.1,26474492
OZ078186.1,25720779
OZ078187.1,25390132
OZ078188.1,25343744
OZ078189.1,23398822
OZ078190.1,1122024
OZ078191.1,23338
OZ078192.1,64217
OZ078193.1,131785
OZ078194.1,24816
OZ078195.1,57138
OZ078196.1,165485
OZ078197.1,132125
OZ078198.1,215319
