chromosome,length_bp
OZ241426.1,17228600
OZ241427.1,16410466
OZ241428.1,16368802
OZ241429.1,16223958
OZ241430.1,15203882
OZ241431.1,14566826
OZ241432.1,13878661
OZ241433.1,13812049
OZ241434.1,13567450
OZ241435.1,13683544
OZ241436.1,13483317
OZ241437.1,12728919
OZ241438.1,12541012
OZ241439.1,12539945
OZ241440.1,12427159
OZ241441.1,12208775
OZ241442.1,12078094
OZ241443.1,11724985
OZ241444.1,11646573
OZ241445.1,11608896
OZ241446.1,11557844
OZ241447.1,11495570
OZ241448.1,11463802
OZ241449.1,11332733
OZ241450.1,11252864
OZ241451.1,11039379
OZ241452.1,10822873
OZ241453.1,10813637
OZ241454.1,10683188
OZ241455.1,1852193
OZ335706.1,214456
