chromosome,length_bp
OZ365373.1,24657767
OZ365374.1,22695177
OZ365375.1,17933998
OZ365376.1,16431052
OZ365377.1,16409000
OZ365378.1,15866736
OZ365379.1,15107073
OZ365380.1,15038447
OZ365381.1,14508908
OZ365382.1,13287242
OZ365383.1,13236377
OZ365384.1,13139737
OZ365385.1,13133811
OZ365386.1,13046532
OZ365387.1,12753013
OZ365388.1,12664375
OZ365389.1,12604650
OZ365390.1,11952281
OZ365391.1,11414827
OZ365392.1,11088576
OZ365393.1,11014387
OZ365394.1,10870107
OZ365395.1,10867241
OZ365396.1,10617162
OZ365397.1,10415825
OZ365398.1,10308030
OZ365399.1,9277657
OZ365400.1,7871945
OZ365401.1,6702110
OZ365402.1,1362885
OZ365403.1,183585
