chromosome,length_bp
OZ173124.1,20714051
OZ173125.1,14547678
OZ173126.1,13702303
OZ173127.1,13676337
OZ173128.1,13238736
OZ173129.1,13095769
OZ173130.1,12890842
OZ173131.1,12717843
OZ173132.1,12703828
OZ173133.1,12047799
OZ173134.1,11898750
OZ173135.1,11678627
OZ173136.1,11567455
OZ173137.1,11356535
OZ173138.1,10577923
OZ173139.1,10275658
OZ173140.1,10185929
OZ173141.1,9978504
OZ173142.1,9955308
OZ173143.1,9803072
OZ173144.1,9660520
OZ173145.1,9403377
OZ173146.1,8996883
OZ173147.1,8762639
OZ173148.1,8663536
OZ173149.1,8423130
OZ173150.1,8409910
OZ173151.1,8277770
OZ173152.1,8009759
OZ173153.1,7845597
OZ173154.1,7746658
OZ173155.1,7557175
OZ173156.1,7293109
OZ173157.1,7151966
OZ173158.1,6774652
OZ173159.1,5987249
OZ173160.1,1753614
OZ173161.1,43942
OZ173162.1,29994
OZ173163.1,720760
OZ173164.1,185639
OZ173165.1,202901
