chromosome,length_bp
CM022079.1,19673786
CM022080.1,18275386
CM022081.1,17045381
CM022082.1,17017937
CM022083.1,16275435
CM022084.1,15789905
CM022085.1,15462896
CM022086.1,15422731
CM022087.1,15246803
CM022088.1,15078524
CM022089.1,14712388
CM022090.1,14605534
CM022091.1,14529372
CM022092.1,13941697
CM022093.1,13477416
CM022094.1,12292438
CM022095.1,12240101
CM022096.1,11866677
CM022097.1,10340728
CM022098.1,9730488
CM022099.1,9688243
CM022100.1,9417832
CM022101.1,8897588
CM022102.1,8060300
CM022103.1,7854970
CM022104.1,7556132
CM022105.1,7333124
CM022106.1,5663841
CM022107.1,2455929
