chromosome,length_bp
CM075233.1,7113267
CM075234.1,5758944
CM075235.1,5473337
CM075236.1,5451024
CM075237.1,5264974
CM075238.1,5023223
CM075239.1,4970270
CM075240.1,4778491
CM075241.1,4547634
CM075242.1,4513024
CM075243.1,4441943
CM075244.1,4391875
CM075245.1,4355401
CM075246.1,4256656
CM075247.1,4191485
CM075248.1,4185943
CM075249.1,4185530
CM075250.1,4174832
CM075251.1,4161567
CM075252.1,4159668
CM075253.1,4159118
CM075254.1,4141014
CM075255.1,4139760
CM075256.1,4077149
CM075257.1,4073855
CM075258.1,4003168
CM075259.1,3957024
CM075260.1,3921732
CM075261.1,3885856
CM075262.1,3884638
CM075263.1,3823289
CM075264.1,3811162
CM075265.1,3741347
CM075266.1,3712244
CM075267.1,3711880
CM075268.1,3668054
CM075269.1,3655977
CM075270.1,3618593
CM075271.1,3554347
CM075272.1,3518890
CM075273.1,3480970
CM075274.1,3467737
CM075275.1,3467718
CM075276.1,3460234
CM075277.1,3415093
CM075278.1,3364509
CM075279.1,3340140
CM075280.1,3327399
CM075281.1,3326761
CM075282.1,3325650
CM075283.1,3212033
CM075284.1,3206651
CM075285.1,2967843
CM075286.1,2855230
