chromosome,length_bp
OZ060117.1,45783982
OZ060118.1,35420040
OZ060119.1,14987047
OZ060120.1,13770376
OZ060121.1,13734211
OZ060122.1,13653931
OZ060123.1,12588252
OZ060124.1,12557933
OZ060125.1,12456378
OZ060126.1,12259953
OZ060127.1,12139196
OZ060128.1,12098324
OZ060129.1,11620593
OZ060130.1,11189835
OZ060131.1,10998303
OZ060132.1,10686917
OZ060133.1,10271568
OZ060134.1,9692786
OZ060135.1,9667491
OZ060136.1,9645786
OZ060137.1,9169816
OZ060138.1,9022312
OZ060139.1,8369972
OZ060140.1,8041126
OZ060141.1,7885053
OZ060142.1,7595238
OZ060143.1,6417716
OZ060144.1,1148890
OZ060145.1,38408
OZ060146.1,11521
OZ060147.1,196989
OZ060148.1,197034
