chr	group	break_start	break_end	class
OZ217858.1	1	1210000	2170000	undefined
OZ217859.1	2	3380000	4070000	undefined
OZ217861.1	3	5810000	6010000	fusion in Carex hirta
OZ217862.1	4	7580000	7630000	undefined
OZ217864.1	5	980000	2320000	undefined
OZ217864.1	6	3910000	6600000	undefined
OZ217865.1	7	1040000	1250000	undefined
OZ217866.1	8	7060000	7110000	undefined
OZ217867.1	9	6930000	7140000	undefined
OZ217869.1	10	6220000	6460000	undefined
OZ217872.1	11	4960000	5830000	undefined
OZ217873.1	12	5770000	6070000	fusion in Carex hirta
OZ217875.1	13	5080000	5700000	undefined
OZ217876.1	14	4100000	4480000	undefined
OZ217881.1	15	2860000	3140000	undefined
OZ217881.1	16	5170000	5240000	undefined
OZ217882.1	17	1760000	1950000	undefined
OZ217882.1	18	3040000	3400000	undefined
OZ217884.1	19	550000	1120000	undefined
OZ217884.1	20	3310000	3620000	undefined
OZ217884.1	21	5020000	5070000	undefined
OZ217885.1	22	660000	8e+05	undefined
OZ217888.1	23	1150000	1330000	undefined
OZ217890.1	24	1680000	1870000	undefined
OZ217895.1	25	530000	1760000	undefined
OZ217897.1	26	560000	890000	undefined
OZ217900.1	27	640000	830000	fusion in Carex hirta
OZ217903.1	28	1630000	2080000	fission in Carex riparia
OZ217904.1	29	3410000	3620000	undefined
OZ217905.1	30	3010000	3460000	undefined
OZ217911.1	31	2280000	2340000	undefined
