chr	group	break_start	break_end	class
OZ211079.1	1	3550000	3700000	fission in Carex extensa
OZ211079.1	2	6140000	6200000	fusion in Carex distans
OZ211079.1	3	9320000	9410000	fission in Carex extensa
OZ211079.1	4	12750000	13020000	fusion in Carex distans
OZ211080.1	5	5670000	6180000	undefined
OZ211080.1	6	10340000	10840000	undefined
OZ211081.1	7	520000	740000	fission in Carex extensa
OZ211081.1	8	9300000	9540000	inversion
OZ211081.1	9	11300000	11400000	fusion in Carex distans
OZ211081.1	10	16340000	16550000	fission in Carex extensa
OZ211082.1	11	9190000	9280000	fusion in Carex distans
OZ211085.1	12	5310000	5410000	fusion in Carex distans
OZ211085.1	13	8040000	8130000	fission in Carex extensa
OZ211086.1	14	3970000	4120000	undefined
OZ211088.1	15	3270000	3530000	fission in Carex extensa
OZ211089.1	16	6010000	6100000	fusion in Carex distans
OZ211090.1	17	990000	1170000	fission in Carex extensa
OZ211091.1	18	4680000	4850000	fusion in Carex distans
OZ211091.1	19	6160000	6340000	fission in Carex extensa
OZ211092.1	20	4920000	4970000	fission in Carex extensa
OZ211093.1	21	1e+06	1210000	undefined
OZ211094.1	22	5580000	5730000	fission in Carex extensa
OZ211096.1	23	4480000	5640000	fusion in Carex distans
OZ211100.1	24	890000	1160000	fusion in Carex distans
OZ211101.1	25	2660000	2710000	fusion in Carex distans
OZ211102.1	26	790000	910000	undefined
OZ211103.1	27	4100000	4200000	fission in Carex extensa
OZ211104.1	28	3690000	3820000	fusion in Carex distans
OZ211105.1	29	620000	880000	undefined
OZ211106.1	30	4300000	4410000	fission in Carex extensa
OZ211107.1	31	4160000	4320000	fission in Carex extensa
OZ211108.1	32	5270000	6150000	fusion in Carex distans
OZ211112.1	33	990000	1140000	undefined
