chromosome,length_bp
OZ259035.1,22144992
OZ259036.1,21304706
OZ259037.1,20637855
OZ259038.1,20438417
OZ259039.1,19423233
OZ259040.1,19163799
OZ259041.1,17141716
OZ259042.1,16426643
OZ259043.1,16007929
OZ259044.1,15876674
OZ259045.1,15464094
OZ259046.1,14776140
OZ259047.1,14589014
OZ259048.1,14342644
OZ259049.1,14193956
OZ259050.1,14084684
OZ259051.1,13961496
OZ259052.1,13341500
OZ259053.1,13325345
OZ259054.1,13302236
OZ259055.1,12839012
OZ259056.1,12807738
OZ259057.1,12220521
OZ259058.1,11370756
OZ259059.1,11589471
OZ259060.1,10728506
OZ259061.1,9193058
OZ259062.1,9156930
OZ259063.1,8773013
OZ259064.1,2886541
OZ259065.1,176495
OZ259066.1,134029
