species,chromosome,type,chunks,length_kb
Carex_riparia,OZ206386.1,gap,3,15
Carex_riparia,OZ206386.1,array,4,20
Carex_riparia,OZ206386.1,gap,154,770
Carex_riparia,OZ206386.1,array,4,20
Carex_riparia,OZ206386.1,gap,25,125
Carex_riparia,OZ206386.1,array,5,25
Carex_riparia,OZ206386.1,gap,190,950
Carex_riparia,OZ206386.1,array,4,20
Carex_riparia,OZ206386.1,gap,47,235
Carex_riparia,OZ206386.1,array,4,20
Carex_riparia,OZ206386.1,gap,27,135
Carex_riparia,OZ206386.1,array,3,15
Carex_riparia,OZ206386.1,gap,2,10
Carex_riparia,OZ206386.1,array,3,15
Carex_riparia,OZ206386.1,gap,20,100
Carex_riparia,OZ206386.1,array,4,20
Carex_riparia,OZ206386.1,gap,216,1080
Carex_riparia,OZ206386.1,array,4,20
Carex_riparia,OZ206386.1,gap,46,230
Carex_riparia,OZ206386.1,array,4,20
Carex_riparia,OZ206386.1,gap,307,1535
Carex_riparia,OZ206386.1,array,4,20
Carex_riparia,OZ206386.1,gap,170,850
Carex_riparia,OZ206386.1,array,5,25
Carex_riparia,OZ206386.1,gap,186,930
Carex_riparia,OZ206386.1,array,3,15
Carex_riparia,OZ206386.1,gap,129,645
Carex_riparia,OZ206386.1,array,4,20
Carex_riparia,OZ206386.1,gap,114,570
Carex_riparia,OZ206386.1,array,2,10
Carex_riparia,OZ206386.1,gap,3,15
Carex_riparia,OZ206386.1,array,3,15
Carex_riparia,OZ206386.1,gap,147,735
Carex_riparia,OZ206386.1,array,6,30
Carex_riparia,OZ206386.1,gap,160,800
Carex_riparia,OZ206386.1,array,5,25
Carex_riparia,OZ206386.1,gap,175,875
Carex_riparia,OZ206386.1,array,4,20
Carex_riparia,OZ206386.1,gap,121,605
Carex_riparia,OZ206386.1,array,3,15
Carex_riparia,OZ206386.1,gap,153,765
Carex_riparia,OZ206386.1,array,2,10
Carex_riparia,OZ206386.1,gap,92,460
Carex_riparia,OZ206386.1,array,4,20
Carex_riparia,OZ206386.1,gap,140,700
Carex_riparia,OZ206386.1,array,4,20
Carex_riparia,OZ206386.1,gap,107,535
Carex_riparia,OZ206386.1,array,3,15
Carex_riparia,OZ206386.1,gap,1,5
Carex_riparia,OZ206386.1,array,1,5
Carex_riparia,OZ206386.1,gap,149,745
Carex_riparia,OZ206386.1,array,7,35
Carex_riparia,OZ206386.1,gap,149,745
Carex_riparia,OZ206386.1,array,6,30
Carex_riparia,OZ206386.1,gap,171,855
Carex_riparia,OZ206386.1,array,7,35
Carex_riparia,OZ206386.1,gap,107,535
Carex_riparia,OZ206386.1,array,5,25
Carex_riparia,OZ206386.1,gap,144,720
Carex_riparia,OZ206386.1,array,5,25
Carex_riparia,OZ206386.1,gap,94,470
