chromosome,length_bp
CM051464.1,19010090
CM051465.1,18064919
CM051466.1,18390026
CM051467.1,16826136
CM051468.1,14691326
CM051469.1,9831121
CM051470.1,15824769
CM051471.1,19428065
CM051472.1,17588163
CM051473.1,14440647
CM051474.1,17284093
CM051475.1,15971691
CM051476.1,15427301
CM051477.1,15465766
CM051478.1,10820703
CM051479.1,17403776
CM051480.1,13774175
CM051481.1,12338814
CM051482.1,11476182
CM051483.1,10448923
CM051484.1,11759443
CM051485.1,12024948
CM051486.1,10447700
CM051487.1,9428833
CM051488.1,9755249
CM051489.1,9325819
CM051490.1,8548999
CM051491.1,15447987
CM051492.1,8755963
