species,chromosome,chromosome_size_chunks,num_oligocentromere_arrays,num_oligocentromere_chunks,non_oligo_chunks,mean_array_length_chunks,median_array_length_chunks,mean_gap_chunks,median_gap_chunks
Carex_riparia,OZ206386.1,4179,36,149,4030,4.138888888888889,4,108.91891891891892,114
Carex_riparia,OZ206387.1,3415,19,61,3354,3.210526315789474,4,167.7,117.5
Carex_riparia,OZ206388.1,3168,33,115,3053,3.484848484848485,4,89.79411764705883,95.5
Carex_riparia,OZ206389.1,3132,21,86,3046,4.095238095238095,4,138.45454545454547,129
Carex_riparia,OZ206390.1,3028,31,111,2917,3.5806451612903225,4,91.15625,100
Carex_riparia,OZ206391.1,2968,28,114,2854,4.071428571428571,4,98.41379310344827,97
Carex_riparia,OZ206392.1,2925,26,99,2826,3.8076923076923075,4,104.66666666666667,120
Carex_riparia,OZ206393.1,2833,22,90,2743,4.090909090909091,4,119.26086956521739,106
Carex_riparia,OZ206394.1,2801,31,116,2685,3.7419354838709675,4,83.90625,91.5
Carex_riparia,OZ206395.1,2632,13,56,2576,4.3076923076923075,4,184,178
Carex_riparia,OZ206396.1,2438,13,41,2397,3.1538461538461537,4,171.21428571428572,182.5
Carex_riparia,OZ206397.1,2401,14,57,2344,4.071428571428571,4,156.26666666666668,168
Carex_riparia,OZ206398.1,2257,21,82,2175,3.9047619047619047,4,98.86363636363636,111
Carex_riparia,OZ206399.1,2245,21,81,2164,3.857142857142857,4,98.36363636363636,102
Carex_riparia,OZ206400.1,2244,22,95,2149,4.318181818181818,4.5,93.43478260869566,104
Carex_riparia,OZ206401.1,2225,24,75,2150,3.125,3,86,55
Carex_riparia,OZ206402.1,2222,20,71,2151,3.55,4,102.42857142857143,118
Carex_riparia,OZ206403.1,2185,12,36,2149,3,3,165.30769230769232,165
Carex_riparia,OZ206404.1,2123,20,69,2054,3.45,3.5,97.80952380952381,120
Carex_riparia,OZ206405.1,2058,20,84,1974,4.2,4,94,95
Carex_riparia,OZ206406.1,2048,18,76,1972,4.222222222222222,4.5,103.78947368421052,125
Carex_riparia,OZ206407.1,1973,19,70,1903,3.6842105263157894,4,95.15,76.5
Carex_riparia,OZ206408.1,1936,9,26,1910,2.888888888888889,3,191,210.5
Carex_riparia,OZ206409.1,1919,16,62,1857,3.875,4,109.23529411764706,116
Carex_riparia,OZ206410.1,1863,12,54,1809,4.5,5,139.15384615384616,148
Carex_riparia,OZ206411.1,1849,15,60,1789,4,4,111.8125,121
Carex_riparia,OZ206412.1,1837,16,61,1776,3.8125,4,104.47058823529412,121
Carex_riparia,OZ206413.1,1794,14,58,1736,4.142857142857143,4,115.73333333333333,119
Carex_riparia,OZ206414.1,1765,12,46,1719,3.8333333333333335,4,132.23076923076923,153
Carex_riparia,OZ206415.1,1738,9,35,1703,3.888888888888889,4,170.3,199.5
Carex_riparia,OZ206416.1,1685,11,43,1642,3.909090909090909,4,136.83333333333334,117.5
Carex_riparia,OZ206417.1,1661,13,52,1609,4,4,114.92857142857143,103
Carex_riparia,OZ206418.1,1408,8,26,1382,3.25,3.5,153.55555555555554,163
Carex_riparia,OZ206419.1,1247,3,11,1236,3.6666666666666665,4,309,298.5
Carex_riparia,OZ206420.1,1216,5,18,1198,3.6,4,199.66666666666666,221.5
Carex_riparia,OZ206421.1,1161,7,18,1143,2.5714285714285716,2,142.875,110.5
Carex_laevigata,OZ173124.1,4143,30,165,3978,5.5,5.5,128.32258064516128,145
Carex_laevigata,OZ173125.1,2910,19,132,2778,6.947368421052632,7,138.9,155.5
Carex_laevigata,OZ173126.1,2741,19,117,2624,6.157894736842105,6,131.2,141.5
Carex_laevigata,OZ173127.1,2736,25,163,2573,6.52,7,98.96153846153847,91.5
Carex_laevigata,OZ173128.1,2648,28,127,2521,4.535714285714286,3.5,86.93103448275862,70
Carex_laevigata,OZ173129.1,2620,19,92,2528,4.842105263157895,5,126.4,128
Carex_laevigata,OZ173130.1,2579,21,113,2466,5.380952380952381,6,112.0909090909091,133
Carex_laevigata,OZ173131.1,2544,23,93,2451,4.043478260869565,3,102.125,109.5
Carex_laevigata,OZ173132.1,2541,21,102,2439,4.857142857142857,5,110.86363636363636,101
Carex_laevigata,OZ173133.1,2410,17,95,2315,5.588235294117647,5,128.61111111111111,135.5
Carex_laevigata,OZ173134.1,2380,18,88,2292,4.888888888888889,5,120.63157894736842,143
Carex_laevigata,OZ173135.1,2336,26,107,2229,4.115384615384615,4.5,82.55555555555556,77
Carex_laevigata,OZ173136.1,2314,17,89,2225,5.235294117647059,5,123.61111111111111,108.5
Carex_laevigata,OZ173137.1,2272,13,68,2204,5.230769230769231,5,157.42857142857142,168
Carex_laevigata,OZ173138.1,2116,15,86,2030,5.733333333333333,7,126.875,103
Carex_laevigata,OZ173139.1,2056,17,82,1974,4.823529411764706,5,109.66666666666667,119
Carex_laevigata,OZ173140.1,2038,16,81,1957,5.0625,5,115.11764705882354,101
