chromosome,length_bp
OZ256472.1,15382513
OZ256473.1,14330571
OZ256474.1,13904896
OZ256475.1,13325576
OZ256476.1,12779006
OZ256477.1,12300036
OZ256478.1,11767284
OZ256479.1,11684286
OZ256480.1,11494459
OZ256481.1,11432319
OZ256482.1,11008408
OZ256483.1,10990436
OZ256484.1,10943559
OZ256485.1,10845432
OZ256486.1,10752201
OZ256487.1,10732594
OZ256488.1,10567377
OZ256489.1,10206026
OZ256490.1,10191303
OZ256491.1,10046039
OZ256492.1,9986654
OZ256493.1,9721403
OZ256494.1,9373461
OZ256495.1,9004205
OZ256496.1,9002355
OZ256497.1,8951977
OZ256498.1,8569091
OZ256499.1,8561083
OZ256500.1,8540710
OZ256501.1,8263441
OZ256502.1,7944694
OZ256503.1,7905129
OZ256504.1,7882509
OZ256505.1,7789116
OZ256506.1,7724065
OZ256507.1,7685397
OZ256508.1,7587942
OZ256509.1,7361174
OZ256510.1,6704609
OZ256511.1,6701411
OZ256512.1,6109826
OZ256514.1,5288834
OZ256513.1,5347201
OZ256515.1,1469559
OZ256516.1,206436
