chromosome,length_bp
CM116641.1,11715566
CM116642.1,10288655
CM116643.1,8992501
CM116644.1,7785289
CM116645.1,7628145
CM116646.1,7475845
CM116647.1,7439452
CM116648.1,7179053
CM116649.1,7122717
CM116650.1,6899851
CM116651.1,6862103
CM116652.1,6772776
CM116653.1,6671017
CM116654.1,6659595
CM116655.1,6653894
CM116656.1,6417367
CM116657.1,6162446
CM116658.1,5921687
CM116659.1,5806265
CM116660.1,5643325
CM116661.1,5488733
CM116662.1,5465345
CM116663.1,5024346
CM116664.1,4881784
CM116665.1,4955145
CM116666.1,4721380
CM116667.1,4646728
CM116668.1,4568788
CM116669.1,4416273
CM116670.1,4337093
CM116671.1,4392241
CM116672.1,4237389
CM116673.1,4231479
CM116674.1,4173882
CM116675.1,4142981
CM116676.1,4048020
CM116677.1,4030905
CM116678.1,3948890
CM116679.1,3937438
CM116680.1,3841514
CM116681.1,3817042
CM116682.1,3802352
CM116683.1,3784918
CM116684.1,3648986
CM116685.1,3259800
CM116686.1,3237760
CM116687.1,3196549
CM116688.1,3121553
CM116689.1,3105987
CM116690.1,3091676
CM116691.1,2959058
CM116692.1,2904485
CM116693.1,2902238
CM116694.1,2880945
CM116695.1,2825990
