chr	group	break_start	break_end	class
OZ253276.1	1	520000	810000	undefined
OZ253276.1	2	11740000	12020000	fission in Carex nigra
OZ253276.1	3	13760000	13950000	undefined
OZ253276.1	4	21230000	21310000	undefined
OZ253277.1	5	7960000	8280000	fusion in Carex elata
OZ253277.1	6	12200000	13630000	undefined
OZ253278.1	7	530000	1240000	undefined
OZ253278.1	8	14070000	14150000	undefined
OZ253279.1	9	8350000	8410000	fission in Carex nigra
OZ253281.1	10	640000	750000	undefined
OZ253281.1	11	13440000	13620000	undefined
OZ253282.1	12	510000	650000	undefined
OZ253282.1	13	8180000	8230000	fission in Carex nigra
OZ253285.1	14	3600000	3870000	undefined
OZ253285.1	15	9060000	10980000	undefined
OZ253288.1	16	630000	690000	undefined
OZ253289.1	17	10410000	10470000	undefined
OZ253292.1	18	640000	760000	undefined
OZ253292.1	19	8450000	8620000	undefined
OZ253304.1	20	510000	610000	undefined
OZ253306.1	21	7e+05	950000	undefined
OZ253307.1	22	6620000	6870000	undefined
OZ253310.1	23	6440000	6560000	undefined
OZ253312.1	24	5330000	5410000	undefined
OZ253314.1	25	920000	2140000	undefined
OZ253315.1	26	510000	2180000	undefined
