chr	group	break_start	break_end	class
OZ256474.1	1	1660000	3070000	undefined
OZ256474.1	2	7170000	7950000	undefined
OZ256474.1	3	9260000	10140000	undefined
OZ256474.1	4	12960000	13450000	fission in Carex elata
OZ256477.1	5	10710000	11840000	fission in Carex elata
OZ256479.1	6	2920000	3730000	undefined
OZ256479.1	7	8200000	8640000	undefined
OZ256481.1	8	580000	770000	undefined
OZ256493.1	9	950000	2330000	undefined
OZ256500.1	10	6040000	6680000	fission in Carex elata
OZ256501.1	11	520000	610000	undefined
OZ256502.1	12	5560000	6470000	undefined
OZ256505.1	13	510000	560000	undefined
OZ256505.1	14	7240000	7320000	undefined
OZ256510.1	15	1670000	1750000	fission in Carex elata
OZ256513.1	16	1230000	3970000	undefined
